match_id,round,group,date,time,team1,team2,status,ft1,ft2,ht1,ht2,ground,goals1,goals2
87,Round of 32,,2026-07-03,20:30 UTC-5,Colombia,Ghana,upcoming,,,,,Kansas City,,
88,Round of 32,,2026-07-03,13:00 UTC-5,Australia,Egypt,upcoming,,,,,Dallas (Arlington),,
89,Round of 16,,2026-07-04,17:00 UTC-4,W74,W77,upcoming,,,,,Philadelphia,,
90,Round of 16,,2026-07-04,12:00 UTC-5,W73,W75,upcoming,,,,,Houston,,
91,Round of 16,,2026-07-05,16:00 UTC-4,W76,W78,upcoming,,,,,New York/New Jersey (East Rutherford),,
92,Round of 16,,2026-07-05,18:00 UTC-6,W79,W80,upcoming,,,,,Mexico City,,
93,Round of 16,,2026-07-06,14:00 UTC-5,W83,W84,upcoming,,,,,Dallas (Arlington),,
94,Round of 16,,2026-07-06,17:00 UTC-7,W81,W82,upcoming,,,,,Seattle,,
95,Round of 16,,2026-07-07,12:00 UTC-4,W86,W88,upcoming,,,,,Atlanta,,
96,Round of 16,,2026-07-07,13:00 UTC-7,W85,W87,upcoming,,,,,Vancouver,,
97,Quarter-final,,2026-07-09,16:00 UTC-4,W89,W90,upcoming,,,,,Boston (Foxborough),,
98,Quarter-final,,2026-07-10,12:00 UTC-7,W93,W94,upcoming,,,,,Los Angeles (Inglewood),,
99,Quarter-final,,2026-07-11,17:00 UTC-4,W91,W92,upcoming,,,,,Miami (Miami Gardens),,
100,Quarter-final,,2026-07-11,20:00 UTC-5,W95,W96,upcoming,,,,,Kansas City,,
101,Semi-final,,2026-07-14,14:00 UTC-5,W97,W98,upcoming,,,,,Dallas (Arlington),,
102,Semi-final,,2026-07-15,15:00 UTC-4,W99,W100,upcoming,,,,,Atlanta,,
103,Match for third place,,2026-07-18,17:00 UTC-4,L101,L102,upcoming,,,,,Miami (Miami Gardens),,
104,Final,,2026-07-19,15:00 UTC-4,W101,W102,upcoming,,,,,New York/New Jersey (East Rutherford),,
